time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-16T19:42:31.670Z,-23.8225,-179.7156,526.4,4.9,mb,,76,5.65,1.04,us,us7000fbx2,2021-09-16T20:00:43.040Z,"south of the Fiji Islands",earthquake,10.9,8.5,0.037,235,reviewed,us,us
2021-09-16T19:19:58.379Z,-1.3131,120.6244,35.78,4.4,mb,,80,2.163,1.1,us,us7000fbwx,2021-09-17T15:05:08.040Z,"16 km WNW of Poso, Indonesia",earthquake,6.5,5.1,0.098,30,reviewed,us,us
2021-09-16T18:35:01.630Z,55.0421,-156.488,2.9,3.4,ml,,,,0.35,ak,ak021bwn46z7,2021-09-17T13:59:11.040Z,"184 km SE of Chignik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-09-16T18:34:56.392Z,-31.8107,-72.219,18.62,4.6,mb,,155,1.083,0.77,us,us7000fbwd,2021-09-16T20:09:24.299Z,"101 km W of Illapel, Chile",earthquake,4.6,3.5,0.137,16,reviewed,us,us
2021-09-16T17:51:55.772Z,55.0291,-156.4898,36.5,5.6,mww,,,,0.7,ak,ak021bwmmasc,2021-09-17T17:55:43.928Z,"185 km SE of Chignik, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2021-09-16T15:23:21.690Z,60.5781,-148.5173,10.9,2.5,ml,,,,0.66,ak,ak021bwl9d48,2021-09-16T17:17:00.040Z,"23 km SSE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-09-16T12:09:34.087Z,30.95954488,-103.4496474,4.434838867,2.7,ml,27,67,0.1144935187,0.3,tx,tx2021sehw,2021-09-16T16:26:41.525Z,"",earthquake,0.9850917049999999,1.293579712,0.1,14,reviewed,tx,tx
2021-09-16T12:03:55.866Z,23.6199,-108.7811,10,4.3,mb,,200,4.343,1.33,us,us7000fbs1,2021-09-16T13:02:44.521Z,"82 km E of La Rivera, Mexico",earthquake,10.8,2,0.065,66,reviewed,us,us
2021-09-16T11:51:57.120Z,32.27508545,-102.2114377,6.187052409,2.9,ml,23,61,0.150274556,0.2,tx,tx2021sehh,2021-09-16T12:19:24.811Z,"30 km E of McKinney Acres, Texas",earthquake,0.8323025877,2.358059094,0.1,12,reviewed,tx,tx
2021-09-16T11:11:46.120Z,17.9548,-66.8833,14,2.83,md,13,187,0.1616,0.15,pr,pr2021259003,2021-09-16T11:54:43.288Z,"2 km SSE of Maria Antonia, Puerto Rico",earthquake,0.6,0.5,0.16,4,reviewed,pr,pr
2021-09-16T10:44:25.502Z,44.3156,-115.1857,13.41,2.7,ml,,55,0.936,0.65,us,us7000fbrn,2021-09-17T10:16:31.656Z,"22 km WNW of Stanley, Idaho",earthquake,3.1,10.3,0.057,41,reviewed,us,us
2021-09-16T09:42:29.529Z,37.4695,137.2229,10,5.4,mb,,50,1.211,0.92,us,us7000fbrh,2021-09-17T09:48:40.431Z,"51 km NNE of Nanao, Japan",earthquake,5,1,0.025,546,reviewed,us,us
2021-09-16T09:28:28.278Z,-32.1244,-72.2363,10.25,4.6,mb,,191,1.024,0.59,us,us7000fbrd,2021-09-16T20:34:09.832Z,"101 km WNW of La Ligua, Chile",earthquake,4.1,6.1,0.206,7,reviewed,us,us
